ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2016,1 หลัก,2 ช่องจราจร,1.151,16.654
2016,2 หลัก,2 ช่องจราจร,0.773,10.922
2016,3 หลัก,2 ช่องจราจร,0.691,33.674
2016,4 หลัก,2 ช่องจราจร,0.392,17.392
2016,Freeway (Motorway),2 ช่องจราจร,,
2016,1 หลัก,4 ช่องจราจร,0.555,17.293
2016,2 หลัก,4 ช่องจราจร,0.382,12.680
2016,3 หลัก,4 ช่องจราจร,0.444,22.476
2016,4 หลัก,4 ช่องจราจร,0.248,33.013
2016,Freeway (Motorway),4 ช่องจราจร,1.605,139.711
2016,1 หลัก,มากกว่า 4 ช่องจราจร,0.690,34.192
2016,2 หลัก,มากกว่า 4 ช่องจราจร,0.729,79.062
2016,3 หลัก,มากกว่า 4 ช่องจราจร,0.456,69.414
2016,4 หลัก,มากกว่า 4 ช่องจราจร,0.359,56.860
2016,Freeway (Motorway),มากกว่า 4 ช่องจราจร,1.169,38.009
