Initial_Year,Initial_Month,Forecast_Year,Foreast_Month,Province_ID,Province_NameTH,Rainfall(mm)
2021,1,2021,1,10,กรุงเทพมหานคร,5.359579833
2021,1,2021,1,11,จ.สมุทรปราการ,4.724574338
2021,1,2021,1,12,จ.นนทบุรี,6.060825512
2021,1,2021,1,13,จ.ปทุมธานี,6.709093068
2021,1,2021,1,14,จ.พระนครศรีอยุธยา,2.295685448
2021,1,2021,1,15,จ.อ่างทอง,0.319214464
2021,1,2021,1,16,จ.ลพบุรี,1.957033229
2021,1,2021,1,17,จ.สิงห์บุรี,0
2021,1,2021,1,18,จ.ชัยนาท,0.023396675
2021,1,2021,1,19,จ.สระบุรี,0.809441416
2021,1,2021,1,20,จ.ชลบุรี,12.14118275
2021,1,2021,1,21,จ.ระยอง,15.53323501
2021,1,2021,1,22,จ.จันทบุรี,14.7046063
2021,1,2021,1,23,จ.ตราด,16.16001272
2021,1,2021,1,24,จ.ฉะเชิงเทรา,16.56386042
2021,1,2021,1,25,จ.ปราจีนบุรี,13.35390807
2021,1,2021,1,26,จ.นครนายก,4.735496651
2021,1,2021,1,27,จ.สระแก้ว,6.818592983
2021,1,2021,1,30,จ.นครราชสีมา,2.696116287
2021,1,2021,1,31,จ.บุรีรัมย์,1.682768535
2021,1,2021,1,32,จ.สุรินทร์,2.151343081
2021,1,2021,1,33,จ.ศรีสะเกษ,0.636701155
2021,1,2021,1,34,จ.อุบลราชธานี,0.196123107
2021,1,2021,1,35,จ.ยโสธร,0.329583333
2021,1,2021,1,36,จ.ชัยภูมิ,2.760232775
2021,1,2021,1,37,จ.อำนาจเจริญ,0.354862219
2021,1,2021,1,38,จ.บึงกาฬ,0.643174182
2021,1,2021,1,39,จ.หนองบัวลำภู,0.806231675
2021,1,2021,1,40,จ.ขอนแก่น,0.165275678
2021,1,2021,1,41,จ.อุดรธานี,0.482877237
2021,1,2021,1,42,จ.เลย,1.228649983
2021,1,2021,1,43,จ.หนองคาย,0.619542999
2021,1,2021,1,44,จ.มหาสารคาม,0.196468968
2021,1,2021,1,45,จ.ร้อยเอ็ด,0.369974296
2021,1,2021,1,46,จ.กาฬสินธุ์,0.347952404
2021,1,2021,1,47,จ.สกลนคร,0.785504938
2021,1,2021,1,48,จ.นครพนม,0.777851431
2021,1,2021,1,49,จ.มุกดาหาร,1.014975453
2021,1,2021,1,50,จ.เชียงใหม่,0
2021,1,2021,1,51,จ.ลำพูน,0
2021,1,2021,1,52,จ.ลำปาง,0.020542512
2021,1,2021,1,53,จ.อุตรดิตถ์,0.294345565
2021,1,2021,1,54,จ.แพร่,0.142622832
2021,1,2021,1,55,จ.น่าน,0.573122237
2021,1,2021,1,56,จ.พะเยา,0.191103798
2021,1,2021,1,57,จ.เชียงราย,0.030614362
2021,1,2021,1,58,จ.แม่ฮ่องสอน,0
2021,1,2021,1,60,จ.นครสวรรค์,1.318687974
2021,1,2021,1,61,จ.อุทัยธานี,0.002938761
2021,1,2021,1,62,จ.กำแพงเพชร,0
2021,1,2021,1,63,จ.ตาก,0
2021,1,2021,1,64,จ.สุโขทัย,0
2021,1,2021,1,65,จ.พิษณุโลก,0.198993654
2021,1,2021,1,66,จ.พิจิตร,0.920109589
2021,1,2021,1,67,จ.เพชรบูรณ์,5.47966491
2021,1,2021,1,70,จ.ราชบุรี,0.777019853
2021,1,2021,1,71,จ.กาญจนบุรี,0.397132235
2021,1,2021,1,72,จ.สุพรรณบุรี,0.603783366
2021,1,2021,1,73,จ.นครปฐม,4.589681392
2021,1,2021,1,74,จ.สมุทรสาคร,3.050746888
2021,1,2021,1,75,จ.สมุทรสงคราม,0.435130435
2021,1,2021,1,76,จ.เพชรบุรี,0.141666017
2021,1,2021,1,77,จ.ประจวบคีรีขันธ์,2.84975244
2021,1,2021,1,80,จ.นครศรีธรรมราช,101.6961338
2021,1,2021,1,81,จ.กระบี่,34.41035911
2021,1,2021,1,82,จ.พังงา,40.68301222
2021,1,2021,1,83,จ.ภูเก็ต,59.36151574
2021,1,2021,1,84,จ.สุราษฎร์ธานี,37.92231776
2021,1,2021,1,85,จ.ระนอง,12.25455506
2021,1,2021,1,86,จ.ชุมพร,17.82498281
2021,1,2021,1,90,จ.สงขลา,63.70957051
2021,1,2021,1,91,จ.สตูล,41.97095262
2021,1,2021,1,92,จ.ตรัง,34.44093783
2021,1,2021,1,93,จ.พัทลุง,73.44915964
