M/Y,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,Aver
1,72.27,74.56,75.64,77.76,75.93,71.80,70.25,71.69,73.31,74.03,74.93,74.07,
2,57.94,66.37,70.46,65.15,68.16,64.51,62.03,70.47,68.80,68.40,64.45,69.44,
3,52.86,60.24,66.55,58.40,60.31,63.42,58.27,61.87,63.59,71.00,63.49,66.52,
4,58.79,60.77,70.20,68.80,58.81,66.77,64.75,59.02,70.15,75.04,59.81,69.57,
5,68.85,66.89,75.72,76.58,72.30,67.48,75.84,65.17,78.02,83.07,70.22,73.71,
6,81.72,73.27,81.66,76.71,77.85,64.78,75.14,74.68,77.35,81.15,74.50,81.21,
7,82.66,77.31,83.49,84.72,82.95,73.02,81.91,79.95,80.85,84.72,80.01,81.79,
8,88.91,86.68,84.65,84.65,84.58,80.53,82.28,82.93,82.18,86.34,86.97,82.10,
9,86.39,81.75,83.78,85.10,84.00,84.17,82.94,83.95,83.41,86.58,85.06,83.85,
10,,80.87,79.23,83.22,82.17,83.26,79.48,82.51,77.83,83.06,81.61,82.43,
11,,78.21,77.88,78.22,79.07,76.32,77.31,78.71,79.15,76.83,76.36,75.71,
12,,74.73,74.90,77.39,75.21,80.21,71.95,76.28,77.47,74.12,79.73,74.33,
Average,,,,,,,,,,,,,
