M/Y,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,AVER
1,22.11,22.34,21.50,22.15,19.85,19.79,19.30,21.73,21.95,20.55,22.75,19.19,
2,23.38,23.83,22.81,22.89,21.55,22.71,23.00,24.81,24.22,23.51,24.09,24.00,
3,27.44,26.36,25.22,26.95,26.54,26.59,26.53,25.81,26.01,24.13,26.25,25.79,
4,27.72,29.49,26.87,27.60,29.87,26.44,28.20,29.39,27.93,26.53,29.97,27.79,
5,28.12,29.74,27.40,27.83,28.60,28.74,28.28,28.77,27.61,26.70,29.71,27.80,
6,26.03,29.01,27.14,28.09,27.84,28.72,28.02,27.70,27.49,27.19,29.11,26.96,
7,25.89,27.73,26.83,26.66,26.72,27.35,26.92,26.94,26.70,26.78,27.77,26.85,
8,24.68,26.52,26.39,26.93,26.81,27.01,26.61,26.55,26.55,26.33,26.57,27.00,
9,25.43,26.82,26.79,27.05,26.93,27.08,26.78,26.57,26.91,26.46,26.90,26.80,
10,0.00,26.27,26.39,25.97,26.76,25.72,25.78,25.29,26.32,25.56,25.92,26.37,
11,0.00,24.30,24.15,24.41,24.92,25.31,24.44,24.81,25.75,23.23,23.25,23.01,
12,0.00,20.30,22.87,21.22,21.93,22.13,21.76,19.18,22.91,20.94,22.21,21.08,
Average,,,,,,,,,,,,,
