ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2021,1 หลัก,2 ช่องจราจร,0.958,20.771
2021,2 หลัก,2 ช่องจราจร,0.536,7.274
2021,3 หลัก,2 ช่องจราจร,0.756,14.097
2021,4 หลัก,2 ช่องจราจร,0.546,8.677
2021,Freeway (Motorway),2 ช่องจราจร,,
2021,1 หลัก,4 ช่องจราจร,0.514,12.333
2021,2 หลัก,4 ช่องจราจร,0.368,8.021
2021,3 หลัก,4 ช่องจราจร,0.433,10.756
2021,4 หลัก,4 ช่องจราจร,0.277,6.313
2021,Freeway (Motorway),4 ช่องจราจร,0.960,39.060
2021,1 หลัก,มากกว่า 4 ช่องจราจร,0.679,22.876
2021,2 หลัก,มากกว่า 4 ช่องจราจร,0.690,20.700
2021,3 หลัก,มากกว่า 4 ช่องจราจร,0.464,11.771
2021,4 หลัก,มากกว่า 4 ช่องจราจร,0.402,8.966
2021,Freeway (Motorway),มากกว่า 4 ช่องจราจร,0.971,31.456
