Station,Date and time,pH,DO,EC,Temp
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 0:00,-,5.0,645.4,25.3
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 0:30,-,5.0,640.2,25.3
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 1:00,-,5.1,638.5,25.2
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 1:30,-,5.1,638.5,25.1
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 2:00,-,5.1,641.1,25.1
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 2:30,-,5.0,635.4,25.1
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 3:00,-,5.0,643.2,25.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 3:30,-,5.0,641.7,25.1
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 4:00,-,5.0,646.3,25.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 4:30,-,5.0,657.5,25.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 5:00,-,4.9,666.7,25.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 5:30,-,4.9,685.4,24.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 6:00,-,4.9,704.9,24.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 6:30,-,4.9,755.2,24.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 7:00,-,4.9,825.8,24.8
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 7:30,-,4.8,918.6,25.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 8:00,-,4.7,1122.6,25.2
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 8:30,-,4.7,1377.3,25.2
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 9:00,-,4.7,1726.3,25.3
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 9:30,-,4.7,2147.7,25.4
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 10:00,-,4.7,2267.5,25.5
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 10:30,-,4.8,2553.0,25.7
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 11:00,-,4.8,2651.1,25.7
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 11:30,-,4.8,2701.3,25.8
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 12:00,-,4.8,2527.5,26.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 12:30,-,4.8,2452.6,26.3
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 13:00,-,4.7,2766.0,25.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 13:30,-,4.7,2596.2,26.0
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 14:00,-,4.6,2805.5,25.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 14:30,-,4.6,2910.4,25.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 15:00,-,4.6,3001.6,25.9
สถานีวัดแหลมใต้-บางปะกง,1/1/2022 15:30,-,4.7,3194.6,25.9
